"","timestamp","me_identifico","edad","estoy_trabajando_en","donde_estas_trabajando","anos_de_experiencia","anos_en_la_empresa_actual","anos_en_el_puesto_actual","gente_a_cargo","nivel_de_estudios_alcanzado","estado","carrera","universidad","realizaste_cursos_de_especializacion","contribuis_a_proyectos_open_source","programas_como_hobbie","trabajo_de","plataformas","lenguajes_de_programacion","frameworksherramientas_y_librerias","bases_de_datos","qa_testing","ides","que_so_usas_en_tu_laptoppc_para_trabajar","y_en_tu_celular","tenes_guardias","cuanto_cobras_por_guardia","porcentajebruto_o_neto","tipo_de_contrato","salario_bruto","salario_neto","que_tan_conforme_estas_con_tu_sueldo","como_crees_que_esta_tu_sueldo_con_respecto_al_ultimo_semestre","recibis_algun_tipo_de_bono","a_que_esta_atado_el_bono","tuviste_ajustes_por_inflacion_en_2019","de_que_fue_el_ajuste_total","en_que_mes_fue_el_ultimo_ajuste","sufriste_o_presenciaste_situaciones_de_violencia_laboral","orientacion_sexual","tenes_algun_tipo_de_discapacidad","sentis_que_esto_te_dificulto_el_conseguir_trabajo","a_que_eventos_de_tecnologia_asististe_en_el_ultimo_ano","sos_miembro_de_alguna_comunidad_it","cantidad_de_empleados","actividad_principal","la_recomendas_como_un_buen_lugar_para_trabajar","como_calificas_las_politicas_de_diversidad_e_inclusion","a_cuantos_kilometros_de_tu_casa_queda_la_oficina","beneficios_extra","habias_respondido_nuestra_encuesta_en_ediciones_anteriores","cuales_consideras_que_son_las_mejores_empresas_de_it_para_trabajar_en_este_momentoen_tu_ciudad"
"205","1/26/2020 14:42:42","Hombre",29,"Argentina","Buenos Aires",1,0,0,0,"Universitario","Completado","Ingeniería en Informática","UGD","Sí, de forma particular","No","Sí","Data Scientist / Data Engineer","Amazon Web Services","Python, R, SQL",NA,"Teradata, PrestoDB",NA,"IPython / Jupyter, Visual Studio Code","Windows","Android","No",0,"Porcentaje de mi sueldo","Full-Time",90000,72000,3,3,"De uno a tres sueldos","Performance individual","Dos",27,12,"Jamás","Homosexual",NA,NA,"AWS",NA,"10001+","Otras industrias",7,1,4,"Gimnasios gratuitos / subvencionados","Sí",NA
"206","1/27/2020 15:47:53","Hombre",37,"Argentina","Santa Fe",15,3,15,3,"Posgrado","Completado","Licenciatura en Ciencias de la Computación","UNR - Universidad Nacional de Rosario","Sí, de forma particular","No","No","Data Scientist / Data Engineer","Docker, Linux","Javascript, Python, R","TensorFlow, Torch","Google Cloud Storage, MongoDB, MySQL, PostgreSQL",NA,"IPython / Jupyter, PyCharm, RStudio, Sublime Text, Visual Studio Code","GNU/Linux","Android","No",0,"Porcentaje de mi sueldo","Full-Time",10630918,82594,2,2,"No","No recibo bono","Tres",51,1,"Jamás","Heterosexual",NA,NA,"Congresos y Conferencias en USA y Argentina",NA,"11-50","Otras industrias",9,8,2,"Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas / subvencionadas, Descuentos varios (Clarín 365, Club La Nación, etc), Estacionamiento gratuito / subvencionado, Horarios flexibles, Masajes, Viajes al exterior","No",NA
"207","1/21/2020 8:35:26","Mujer",30,"Argentina","Ciudad Autónoma de Buenos Aires",7,1,1,3,"Universitario","Completado","Licenciatura en Comunicación social","UBA - Universidad de Buenos Aires","Sí, los pagó un empleador","No","No","BI Analyst / Data Analyst",NA,"HTML, SQL",NA,"MongoDB",NA,NA,"Windows","iOS","No",0,"Bruto","Full-Time",50000,45000,2,1,"No","No recibo bono","Uno",13,1,"Jamás","Heterosexual",NA,"No",NA,NA,"501-1000","Servicios / Consultoría de Software / Digital",6,7,25,"Capacitaciones y/o cursos, Clases de idiomas, Snacks, golosinas, bebidas","Sí","Oracle"
"208","1/22/2020 11:16:05","Mujer",26,"Argentina","Ciudad Autónoma de Buenos Aires",1,0,0,0,"Universitario","En curso","Ingeniería en Sistemas de Información","UTN - Universidad Tecnológica Nacional","Sí, los pagó un empleador","No","Sí","BI Analyst / Data Analyst",NA,"SQL",NA,"PostgreSQL",NA,NA,"Windows","No tengo celular / no es Smartphone","No",0,"Bruto","Full-Time",50000,42500,3,2,"No","No recibo bono","No",0,0,"En un trabajo anterior","Heterosexual",NA,NA,NA,NA,"51-100","Otras industrias",6,5,5,"Horarios flexibles, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias), WFH (Trabajar desde casa)","No",NA
"209","12/9/2019 8:02:45","Hombre",33,"Argentina","Ciudad Autónoma de Buenos Aires",1,0,0,0,"Universitario","Completado","Ingeniería de sonido","UNTREF - Universidad Nacional de Tres de Febrero","Sí, de forma particular","Sí","Sí","Data Scientist / Data Engineer","Docker, Firebase, Google Cloud Platform/App Engine","Python","Flask, TensorFlow","Google Cloud Storage",NA,"IPython / Jupyter, PyCharm","Windows","iOS","No",0,"Porcentaje de mi sueldo","Full-Time",50000,41500,2,2,"No","No recibo bono","No",0,0,"Jamás","Heterosexual",NA,NA,NA,NA,"1001-2000","Otras industrias",8,8,2,"Clases de idiomas, Comidas pagas / subvencionadas, Gimnasios gratuitos / subvencionados","No",NA
"210","1/28/2020 11:26:17","Hombre",28,"Argentina","Buenos Aires",4,0,1,0,"Posgrado","En curso","Magister en Computo de Altas Prestaciones","UNLP - Universidad Nacional de La Plata","Sí, de forma particular","No","No","Data Scientist / Data Engineer","Amazon Web Services, Docker, Linux","Java, Python, Scala, SQL","Hadoop, Spark","Amazon Redshift, Cassandra, MySQL",NA,"Eclipse, IntelliJ, IPython / Jupyter, Sublime Text","Windows","Android","No",0,"Porcentaje de mi sueldo","Full-Time",110000,83000,3,3,"Menos de un sueldo","Performance individual","Tres",30,12,"Jamás","Heterosexual",NA,NA,NA,NA,"101-200","Servicios / Consultoría de Software / Digital",9,9,1,"Capacitaciones y/o cursos, Clases de idiomas, Gimnasios gratuitos / subvencionados, Descuentos varios (Clarín 365, Club La Nación, etc), Horarios flexibles, Playroom, Snacks, golosinas, bebidas, Viáticos, WFH (Trabajar desde casa)","No",NA
"211","12/9/2019 17:39:26","Hombre",22,"Argentina","Ciudad Autónoma de Buenos Aires",1,0,1,0,"Universitario","En curso","Ingeniería en Informática","UADE - Universidad Argentina De la Empresa","No","No","Sí","Data Scientist / Data Engineer","Heroku, Linux","Python","Flask","PostgreSQL","Postman","IntelliJ, IPython / Jupyter","GNU/Linux","Android","No",0,"Neto","Full-Time",50000,41500,3,4,"No","No recibo bono","No",0,0,"Jamás","Heterosexual",NA,"No","pycon",NA,"201-500","Servicios / Consultoría de Software / Digital",10,10,3,"Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas / subvencionadas, Gimnasios gratuitos / subvencionados, Descuentos varios (Clarín 365, Club La Nación, etc), Horarios flexibles, Masajes, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias), WFH (Trabajar desde casa)","Sí",NA
"212","1/28/2020 15:17:06","Hombre",22,"Argentina","Córdoba",1,1,1,0,"Universitario","En curso","Licenciatura en Ciencias de la Computación","UNC - Universidad Nacional de Córdoba","Sí, de forma particular","Sí","Sí","Data Scientist / Data Engineer","Azure, Docker, Linux","Python","Flask, TensorFlow","Microsoft Azure (Tables, CosmosDB, SQL, etc)",NA,"IPython / Jupyter, Nano, Sublime Text","GNU/Linux","iOS","No",0,"Bruto","Part-Time",51800,36500,1,1,"No","No recibo bono","Uno",26,1,"Jamás","Heterosexual","Visual","No",NA,NA,"11-50","Producto basado en Software",4,7,4,"Capacitaciones y/o cursos, Descuentos varios (Clarín 365, Club La Nación, etc), Estacionamiento gratuito / subvencionado, Horarios flexibles, Viajes al exterior, WFH (Trabajar desde casa)","No","Ninguna local que conozca"
"213","1/2/2020 16:44:15","Hombre",33,"Argentina","Ciudad Autónoma de Buenos Aires",5,2,2,10,"Universitario","Completado","Analista de Computación",NA,"Sí, de forma particular","Sí","Sí","Data Scientist / Data Engineer","Azure, Firebase, Google Cloud Platform/App Engine, Heroku, Linux, VMWare","ActionScript, Assembler, C, C++, C#, HTML, Java, PHP",NA,"Apache HBase, Apache Hive, Cassandra, Google Cloud Storage, MySQL, Oracle",NA,"Notepad++, Vim, Visual Studio","Windows","Android","Sí, pasiva",5000,"Bruto","Full-Time",48000,42000,2,2,"No","Performance grupal","Uno",12,6,"En un trabajo anterior",NA,NA,NA,NA,NA,"1-10","Servicios / Consultoría de Software / Digital",4,4,5,"Capacitaciones y/o cursos","No",NA
"214","2/2/2020 13:18:55","Mujer",20,"Argentina","Ciudad Autónoma de Buenos Aires",2,2,1,0,"Universitario","En curso","Ingeniería en Informática","UNLaM - Universidad Nacional de La Matanza","No","No","No","Data Scientist / Data Engineer","DataStage","SQL","SAP","MySQL, Oracle",NA,"Notepad++","Windows","iOS","Sí, pasiva",0,"Bruto","Full-Time",48000,35000,2,2,"No","No recibo bono","Más de tres",100,11,"Jamás","Heterosexual",NA,"No",NA,NA,"101-200","Otras industrias",8,9,20,"Clases de idiomas, Comidas pagas / subvencionadas, Descuentos varios (Clarín 365, Club La Nación, etc), Horarios flexibles, Licencia de paternidad/maternidad extendida, Snacks, golosinas, bebidas, WFH (Trabajar desde casa)","No",NA
